Team,Player,National/International,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Chennai Super Kings,Noor Ahmad  ,International,2,10,Capped
 Chennai Super Kings,Ravichandaran Ashwin,National,2,9.75,Capped
 Chennai Super Kings,Devon Conway  ,International,2,6.25,Capped
 Chennai Super Kings,Syed Khaleel Ahmed,National,2,4.8,Capped
 Chennai Super Kings,Rachin Ravindra  ,International,1.5,4,Capped
 Chennai Super Kings,Anshul Kamboj,National,0.3,3.4,Uncapped
 Chennai Super Kings,Rahul Tripathi,National,0.75,3.4,Capped
 Chennai Super Kings,Sam Curran  ,International,2,2.4,Capped
 Chennai Super Kings,Gurjapneet Singh,National,0.3,2.2,Uncapped
 Chennai Super Kings,Nathan Ellis  ,International,1.25,2,Capped
 Chennai Super Kings,Deepak Hooda,National,0.75,1.7,Capped
 Chennai Super Kings,Jamie Overton  ,International,1.5,1.5,Capped
 Chennai Super Kings,Vijay Shankar,National,0.3,1.2,Uncapped
 Chennai Super Kings,Vansh Bedi,National,0.3,0.55,Uncapped
 Chennai Super Kings,Andre Siddarth,National,0.3,0.3,Uncapped
 Chennai Super Kings,Shreyas Gopal,National,0.3,0.3,Uncapped
 Chennai Super Kings,Ramakrishna Ghosh,National,0.3,0.3,Uncapped
 Chennai Super Kings,Kamlesh Nagarkoti,National,0.3,0.3,Uncapped
 Chennai Super Kings,Mukesh Choudhary,National,0.3,0.3,Uncapped
 Chennai Super Kings,Shaik Rasheed,National,0.3,0.3,Uncapped
