Title,Player,National/International,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Delhi Capitals,KL Rahul,National,2,14,Capped
 Delhi Capitals,Mitchell Starc  ,International,2,11.75,Capped
 Delhi Capitals,T. Natarajan,National,2,10.75,Capped
 Delhi Capitals,Jake Fraser-Mcgurk  ,International,2,9,Capped
 Delhi Capitals,Mukesh Kumar,National,2,8,Capped
 Delhi Capitals,Harry Brook  ,International,2,6.25,Capped
 Delhi Capitals,Ashutosh Sharma,National,0.3,3.8,Uncapped
 Delhi Capitals,Mohit Sharma,National,0.5,2.2,Uncapped
 Delhi Capitals,Faf Du Plessis  ,International,2,2,Capped
 Delhi Capitals,Sameer Rizvi,National,0.3,0.95,Uncapped
 Delhi Capitals,Donovan Ferreira  ,International,0.75,0.75,Capped
 Delhi Capitals,Dushmantha Chameera  ,International,0.75,0.75,Capped
 Delhi Capitals,Vipraj Nigam,National,0.3,0.5,Uncapped
 Delhi Capitals,Karun Nair,National,0.3,0.5,Uncapped
 Delhi Capitals,Madhav Tiwari,National,0.3,0.4,Uncapped
 Delhi Capitals,Tripurana Vijay,National,0.3,0.3,Uncapped
 Delhi Capitals,Manvanth Kumar L,National,0.3,0.3,Uncapped
 Delhi Capitals,Ajay Mandal,National,0.3,0.3,Uncapped
 Delhi Capitals,Darshan Nalkande,National,0.3,0.3,Uncapped
