Title,Player,National/International,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Kolkata Knight Riders,Venkatesh Iyer,National,2,23.75,Capped
 Kolkata Knight Riders,Anrich Nortje  ,International,2,6.5,Capped
 Kolkata Knight Riders,Quinton De Kock  ,International,2,3.6,Capped
 Kolkata Knight Riders,Angkrish Raghuvanshi,National,0.3,3,Uncapped
 Kolkata Knight Riders,Spencer Johnson  ,International,2,2.8,Capped
 Kolkata Knight Riders,Moeen Ali  ,International,2,2,Capped
 Kolkata Knight Riders,Rahmanullah Gurbaz  ,International,2,2,Capped
 Kolkata Knight Riders,Vaibhav Arora,National,0.3,1.8,Uncapped
 Kolkata Knight Riders,Ajinkya Rahane,National,1.5,1.5,Capped
 Kolkata Knight Riders,Rovman Powell  ,International,1.5,1.5,Capped
 Kolkata Knight Riders,Umran  Malik,National,0.75,0.75,Capped
 Kolkata Knight Riders,Manish Pandey,National,0.75,0.75,Capped
 Kolkata Knight Riders,Anukul Roy,National,0.3,0.4,Uncapped
 Kolkata Knight Riders,Luvnith Sisodia,National,0.3,0.3,Uncapped
 Kolkata Knight Riders,Mayank Markande,National,0.3,0.3,Uncapped
