Title,Player,National/International,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Lucknow Super Giants,Rishabh Pant,National,2,27,Capped
 Lucknow Super Giants,Avesh Khan,National,2,9.75,Capped
 Lucknow Super Giants,Akash Deep,National,1,8,Capped
 Lucknow Super Giants,David Miller  ,International,1.5,7.5,Capped
 Lucknow Super Giants,Abdul Samad,National,0.3,4.2,Uncapped
 Lucknow Super Giants,Mitchell Marsh  ,International,2,3.4,Capped
 Lucknow Super Giants,Shahbaz Ahamad,National,1,2.4,Capped
 Lucknow Super Giants,Aiden Markram  ,International,2,2,Capped
 Lucknow Super Giants,Matthew Breetzke  ,International,0.75,0.75,Capped
 Lucknow Super Giants,Shamar Joseph  ,International,0.75,0.75,Capped
 Lucknow Super Giants,M. Siddharth,National,0.3,0.75,Uncapped
 Lucknow Super Giants,Arshin Kulkarni,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Rajvardhan Hangargekar,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Yuvraj Chaudhary,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Prince Yadav,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Akash Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Digvesh Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Himmat Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Aryan Juyal,National,0.3,0.3,Uncapped
