Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Punjab Kings,Shreyas Iyer,National,2,26.75,Capped
 Punjab Kings,Yuzvendra Chahal,National,2,18,Capped
 Punjab Kings,Arshdeep Singh,National,2,18,Capped
 Punjab Kings,Marcus Stoinis  ,International,2,11,Capped
 Punjab Kings,Marco Jansen  ,International,1.25,7,Capped
 Punjab Kings,Nehal Wadhera,National,0.3,4.2,Uncapped
 Punjab Kings,Glenn Maxwell  ,International,2,4.2,Capped
 Punjab Kings,Priyansh Arya,National,0.3,3.8,Uncapped
 Punjab Kings,Josh Inglis  ,International,2,2.6,Capped
 Punjab Kings,Azmatullah Omarzai  ,International,1.5,2.4,Capped
 Punjab Kings,Lockie Ferguson  ,International,2,2,Capped
 Punjab Kings,Vyshak Vijaykumar,National,0.3,1.8,Uncapped
 Punjab Kings,Yash Thakur,National,0.3,1.6,Uncapped
 Punjab Kings,Harpreet  Brar,National,0.3,1.5,Uncapped
 Punjab Kings,Aaron Hardie  ,International,1.25,1.25,Capped
 Punjab Kings,Vishnu Vinod,National,0.3,0.95,Uncapped
 Punjab Kings,Xavier Bartlett  ,International,0.75,0.8,Capped
 Punjab Kings,Kuldeep  Sen,National,0.75,0.8,Capped
 Punjab Kings,Pravin Dubey,National,0.3,0.3,Uncapped
 Punjab Kings,Pyla Avinash,National,0.3,0.3,Uncapped
 Punjab Kings,Suryansh  Shedge ,National,0.3,0.3,Uncapped
 Punjab Kings,Musheer Khan,National,0.3,0.3,Uncapped
 Punjab Kings,Harnoor Pannu,National,0.3,0.3,Uncapped
