Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Royal Challengers Bengaluru,Josh Hazlewood   ,International,2,12.5,Capped
 Royal Challengers Bengaluru,Phil Salt  ,International,2,11.5,Capped
 Royal Challengers Bengaluru,Jitesh Sharma,National,1,11,Capped
 Royal Challengers Bengaluru,Bhuvneshwar Kumar,National,2,10.75,Capped
 Royal Challengers Bengaluru,Liam Livingstone  ,International,2,8.75,Capped
 Royal Challengers Bengaluru,Rasikh Dar,National,0.3,6,Uncapped
 Royal Challengers Bengaluru,Krunal Pandya,National,2,5.75,Capped
 Royal Challengers Bengaluru,Tim David  ,International,2,3,Capped
 Royal Challengers Bengaluru,Jacob Bethell  ,International,1.25,2.6,Capped
 Royal Challengers Bengaluru,Suyash Sharma,National,0.3,2.6,Uncapped
 Royal Challengers Bengaluru,Devdutt Padikkal,National,2,2,Capped
 Royal Challengers Bengaluru,Nuwan Thushara  ,International,0.75,1.6,Capped
 Royal Challengers Bengaluru,Romario Shepherd  ,International,1.5,1.5,Capped
 Royal Challengers Bengaluru,Lungisani Ngidi  ,International,1,1,Capped
 Royal Challengers Bengaluru,Swapnil Singh,National,0.3,0.5,Uncapped
 Royal Challengers Bengaluru,Mohit Rathee,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Abhinandan Singh,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Swastik Chhikara,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Manoj Bhandage,National,0.3,0.3,Uncapped
