Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Rajasthan Royals,Jofra Archer  ,International,2,12.5,Capped
 Rajasthan Royals,Tushar Deshpande,National,1,6.5,Capped
 Rajasthan Royals,Wanindu Hasaranga  ,International,2,5.25,Capped
 Rajasthan Royals,Maheesh Theekshana  ,International,2,4.4,Capped
 Rajasthan Royals,Nitish Rana,National,1.5,4.2,Capped
 Rajasthan Royals,Fazalhaq Farooqi  ,International,2,2,Capped
 Rajasthan Royals,Kwena Maphaka  ,International,0.75,1.5,Capped
 Rajasthan Royals,Akash Madhwal,National,0.3,1.2,Uncapped
 Rajasthan Royals,Vaibhav Suryavanshi,National,0.3,1.1,Uncapped
 Rajasthan Royals,Shubham Dubey,National,0.3,0.8,Uncapped
 Rajasthan Royals,Yudhvir Charak,National,0.3,0.35,Uncapped
 Rajasthan Royals,Ashok Sharma,National,0.3,0.3,Uncapped
 Rajasthan Royals,Kunal Rathore,National,0.3,0.3,Uncapped
 Rajasthan Royals,Kumar Kartikeya Singh,National,0.3,0.3,Uncapped
