Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Sunrisers Hyderabad,Ishan Kishan,National,2,11.25,Capped
 Sunrisers Hyderabad,Mohammad Shami,National,2,10,Capped
 Sunrisers Hyderabad,Harshal Patel,National,2,8,Capped
 Sunrisers Hyderabad,Abhinav Manohar,National,0.3,3.2,Uncapped
 Sunrisers Hyderabad,Rahul Chahar,National,1,3.2,Capped
 Sunrisers Hyderabad,Adam Zampa  ,International,2,2.4,Capped
 Sunrisers Hyderabad,Simarjeet Singh,National,0.3,1.5,Uncapped
 Sunrisers Hyderabad,Eshan Malinga  ,International,0.3,1.2,Uncapped
 Sunrisers Hyderabad,Brydon Carse  ,International,1,1,Capped
 Sunrisers Hyderabad,Jaydev Unadkat,National,1,1,Capped
 Sunrisers Hyderabad,Kamindu Mendis  ,International,0.75,0.75,Capped
 Sunrisers Hyderabad,Zeeshan Ansari,National,0.3,0.4,Uncapped
 Sunrisers Hyderabad,Sachin Baby,National,0.3,0.3,Uncapped
 Sunrisers Hyderabad,Aniket Verma,National,0.3,0.3,Uncapped
 Sunrisers Hyderabad,Atharva Taide,National,0.3,0.3,Uncapped
