Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Chennai Super Kings,Noor Ahmad  ,International,2,10,Capped
 Chennai Super Kings,Ravichandaran Ashwin,National,2,9.75,Capped
 Chennai Super Kings,Devon Conway  ,International,2,6.25,Capped
 Chennai Super Kings,Syed Khaleel Ahmed,National,2,4.8,Capped
 Chennai Super Kings,Rachin Ravindra  ,International,1.5,4,Capped
 Chennai Super Kings,Anshul Kamboj,National,0.3,3.4,Uncapped
 Chennai Super Kings,Rahul Tripathi,National,0.75,3.4,Capped
 Chennai Super Kings,Sam Curran  ,International,2,2.4,Capped
 Chennai Super Kings,Gurjapneet Singh,National,0.3,2.2,Uncapped
 Chennai Super Kings,Nathan Ellis  ,International,1.25,2,Capped
 Chennai Super Kings,Deepak Hooda,National,0.75,1.7,Capped
 Chennai Super Kings,Jamie Overton  ,International,1.5,1.5,Capped
 Chennai Super Kings,Vijay Shankar,National,0.3,1.2,Uncapped
 Chennai Super Kings,Vansh Bedi,National,0.3,0.55,Uncapped
 Chennai Super Kings,Andre Siddarth,National,0.3,0.3,Uncapped
 Chennai Super Kings,Shreyas Gopal,National,0.3,0.3,Uncapped
 Chennai Super Kings,Ramakrishna Ghosh,National,0.3,0.3,Uncapped
 Chennai Super Kings,Kamlesh Nagarkoti,National,0.3,0.3,Uncapped
 Chennai Super Kings,Mukesh Choudhary,National,0.3,0.3,Uncapped
 Chennai Super Kings,Shaik Rasheed,National,0.3,0.3,Uncapped
 Delhi Capitals,KL Rahul,National,2,14,Capped
 Delhi Capitals,Mitchell Starc  ,International,2,11.75,Capped
 Delhi Capitals,T. Natarajan,National,2,10.75,Capped
 Delhi Capitals,Jake Fraser-Mcgurk  ,International,2,9,Capped
 Delhi Capitals,Mukesh Kumar,National,2,8,Capped
 Delhi Capitals,Harry Brook  ,International,2,6.25,Capped
 Delhi Capitals,Ashutosh Sharma,National,0.3,3.8,Uncapped
 Delhi Capitals,Mohit Sharma,National,0.5,2.2,Uncapped
 Delhi Capitals,Faf Du Plessis  ,International,2,2,Capped
 Delhi Capitals,Sameer Rizvi,National,0.3,0.95,Uncapped
 Delhi Capitals,Donovan Ferreira  ,International,0.75,0.75,Capped
 Delhi Capitals,Dushmantha Chameera  ,International,0.75,0.75,Capped
 Delhi Capitals,Vipraj Nigam,National,0.3,0.5,Uncapped
 Delhi Capitals,Karun Nair,National,0.3,0.5,Uncapped
 Delhi Capitals,Madhav Tiwari,National,0.3,0.4,Uncapped
 Delhi Capitals,Tripurana Vijay,National,0.3,0.3,Uncapped
 Delhi Capitals,Manvanth Kumar L,National,0.3,0.3,Uncapped
 Delhi Capitals,Ajay Mandal,National,0.3,0.3,Uncapped
 Delhi Capitals,Darshan Nalkande,National,0.3,0.3,Uncapped
 Gujarat Titans,Jos  Buttler   ,International,2,15.75,Capped
 Gujarat Titans,Mohammad Siraj,National,2,12.25,Capped
 Gujarat Titans,Kagiso Rabada  ,International,2,10.75,Capped
 Gujarat Titans,Prasidh Krishna,National,2,9.5,Capped
 Gujarat Titans,Washington Sundar,National,2,3.2,Capped
 Gujarat Titans,Sherfane Rutherford  ,International,1.5,2.6,Capped
 Gujarat Titans,Gerald Coetzee  ,International,1.25,2.4,Capped
 Gujarat Titans,Glenn Phillips  ,International,2,2,Capped
 Gujarat Titans,R. Sai Kishore,National,0.75,2,Capped
 Gujarat Titans,Mahipal Lomror,National,0.5,1.7,Uncapped
 Gujarat Titans,Gurnoor Singh Brar,National,0.3,1.3,Uncapped
 Gujarat Titans,Mohd. Arshad Khan,National,0.3,1.3,Uncapped
 Gujarat Titans,Karim Janat  ,International,0.75,0.75,Capped
 Gujarat Titans,Jayant Yadav,National,0.75,0.75,Capped
 Gujarat Titans,Ishant Sharma,National,0.75,0.75,Capped
 Gujarat Titans,Kumar Kushagra,National,0.3,0.65,Uncapped
 Gujarat Titans,Kulwant Khejroliya,National,0.3,0.3,Uncapped
 Gujarat Titans,Manav Suthar,National,0.3,0.3,Uncapped
 Gujarat Titans,Anuj Rawat,National,0.3,0.3,Uncapped
 Gujarat Titans,Nishant Sindhu,National,0.3,0.3,Uncapped
 Kolkata Knight Riders,Venkatesh Iyer,National,2,23.75,Capped
 Kolkata Knight Riders,Anrich Nortje  ,International,2,6.5,Capped
 Kolkata Knight Riders,Quinton De Kock  ,International,2,3.6,Capped
 Kolkata Knight Riders,Angkrish Raghuvanshi,National,0.3,3,Uncapped
 Kolkata Knight Riders,Spencer Johnson  ,International,2,2.8,Capped
 Kolkata Knight Riders,Moeen Ali  ,International,2,2,Capped
 Kolkata Knight Riders,Rahmanullah Gurbaz  ,International,2,2,Capped
 Kolkata Knight Riders,Vaibhav Arora,National,0.3,1.8,Uncapped
 Kolkata Knight Riders,Ajinkya Rahane,National,1.5,1.5,Capped
 Kolkata Knight Riders,Rovman Powell  ,International,1.5,1.5,Capped
 Kolkata Knight Riders,Umran  Malik,National,0.75,0.75,Capped
 Kolkata Knight Riders,Manish Pandey,National,0.75,0.75,Capped
 Kolkata Knight Riders,Anukul Roy,National,0.3,0.4,Uncapped
 Kolkata Knight Riders,Luvnith Sisodia,National,0.3,0.3,Uncapped
 Kolkata Knight Riders,Mayank Markande,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Rishabh Pant,National,2,27,Capped
 Lucknow Super Giants,Avesh Khan,National,2,9.75,Capped
 Lucknow Super Giants,Akash Deep,National,1,8,Capped
 Lucknow Super Giants,David Miller  ,International,1.5,7.5,Capped
 Lucknow Super Giants,Abdul Samad,National,0.3,4.2,Uncapped
 Lucknow Super Giants,Mitchell Marsh  ,International,2,3.4,Capped
 Lucknow Super Giants,Shahbaz Ahamad,National,1,2.4,Capped
 Lucknow Super Giants,Aiden Markram  ,International,2,2,Capped
 Lucknow Super Giants,Matthew Breetzke  ,International,0.75,0.75,Capped
 Lucknow Super Giants,Shamar Joseph  ,International,0.75,0.75,Capped
 Lucknow Super Giants,M. Siddharth,National,0.3,0.75,Uncapped
 Lucknow Super Giants,Arshin Kulkarni,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Rajvardhan Hangargekar,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Yuvraj Chaudhary,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Prince Yadav,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Akash Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Digvesh Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Himmat Singh,National,0.3,0.3,Uncapped
 Lucknow Super Giants,Aryan Juyal,National,0.3,0.3,Uncapped
 Mumbai Indians,Trent Boult  ,International,2,12.5,Capped
 Mumbai Indians,Deepak Chahar,National,2,9.25,Capped
 Mumbai Indians,Will Jacks  ,International,2,5.25,Capped
 Mumbai Indians,Naman Dhir,National,0.3,5.25,Uncapped
 Mumbai Indians,Allah  Ghazanfar  ,International,0.75,4.8,Capped
 Mumbai Indians,Mitchell Santner  ,International,2,2,Capped
 Mumbai Indians,Ryan Rickelton  ,International,1,1,Capped
 Mumbai Indians,Lizaad Williams  ,International,0.75,0.75,Capped
 Mumbai Indians,Reece Topley  ,International,0.75,0.75,Capped
 Mumbai Indians,Robin Minz,National,0.3,0.65,Uncapped
 Mumbai Indians,Karn Sharma,National,0.5,0.5,Uncapped
 Mumbai Indians,Vignesh Puthur,National,0.3,0.3,Uncapped
 Mumbai Indians,Arjun  Tendulkar,National,0.3,0.3,Uncapped
 Mumbai Indians,Bevan John Jacobs  ,International,0.3,0.3,Uncapped
 Mumbai Indians,Venkata Satyanarayana Penmetsa,National,0.3,0.3,Uncapped
 Mumbai Indians,Raj Angad Bawa,National,0.3,0.3,Uncapped
 Mumbai Indians,Shrijith Krishnan,National,0.3,0.3,Uncapped
 Mumbai Indians,Ashwani Kumar,National,0.3,0.3,Uncapped
 Punjab Kings,Shreyas Iyer,National,2,26.75,Capped
 Punjab Kings,Yuzvendra Chahal,National,2,18,Capped
 Punjab Kings,Arshdeep Singh,National,2,18,Capped
 Punjab Kings,Marcus Stoinis  ,International,2,11,Capped
 Punjab Kings,Marco Jansen  ,International,1.25,7,Capped
 Punjab Kings,Nehal Wadhera,National,0.3,4.2,Uncapped
 Punjab Kings,Glenn Maxwell  ,International,2,4.2,Capped
 Punjab Kings,Priyansh Arya,National,0.3,3.8,Uncapped
 Punjab Kings,Josh Inglis  ,International,2,2.6,Capped
 Punjab Kings,Azmatullah Omarzai  ,International,1.5,2.4,Capped
 Punjab Kings,Lockie Ferguson  ,International,2,2,Capped
 Punjab Kings,Vyshak Vijaykumar,National,0.3,1.8,Uncapped
 Punjab Kings,Yash Thakur,National,0.3,1.6,Uncapped
 Punjab Kings,Harpreet  Brar,National,0.3,1.5,Uncapped
 Punjab Kings,Aaron Hardie  ,International,1.25,1.25,Capped
 Punjab Kings,Vishnu Vinod,National,0.3,0.95,Uncapped
 Punjab Kings,Xavier Bartlett  ,International,0.75,0.8,Capped
 Punjab Kings,Kuldeep  Sen,National,0.75,0.8,Capped
 Punjab Kings,Pravin Dubey,National,0.3,0.3,Uncapped
 Punjab Kings,Pyla Avinash,National,0.3,0.3,Uncapped
 Punjab Kings,Suryansh  Shedge ,National,0.3,0.3,Uncapped
 Punjab Kings,Musheer Khan,National,0.3,0.3,Uncapped
 Punjab Kings,Harnoor Pannu,National,0.3,0.3,Uncapped
 Rajasthan Royals,Jofra Archer  ,International,2,12.5,Capped
 Rajasthan Royals,Tushar Deshpande,National,1,6.5,Capped
 Rajasthan Royals,Wanindu Hasaranga  ,International,2,5.25,Capped
 Rajasthan Royals,Maheesh Theekshana  ,International,2,4.4,Capped
 Rajasthan Royals,Nitish Rana,National,1.5,4.2,Capped
 Rajasthan Royals,Fazalhaq Farooqi  ,International,2,2,Capped
 Rajasthan Royals,Kwena Maphaka  ,International,0.75,1.5,Capped
 Rajasthan Royals,Akash Madhwal,National,0.3,1.2,Uncapped
 Rajasthan Royals,Vaibhav Suryavanshi,National,0.3,1.1,Uncapped
 Rajasthan Royals,Shubham Dubey,National,0.3,0.8,Uncapped
 Rajasthan Royals,Yudhvir Charak,National,0.3,0.35,Uncapped
 Rajasthan Royals,Ashok Sharma,National,0.3,0.3,Uncapped
 Rajasthan Royals,Kunal Rathore,National,0.3,0.3,Uncapped
 Rajasthan Royals,Kumar Kartikeya Singh,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Josh Hazlewood   ,International,2,12.5,Capped
 Royal Challengers Bengaluru,Phil Salt  ,International,2,11.5,Capped
 Royal Challengers Bengaluru,Jitesh Sharma,National,1,11,Capped
 Royal Challengers Bengaluru,Bhuvneshwar Kumar,National,2,10.75,Capped
 Royal Challengers Bengaluru,Liam Livingstone  ,International,2,8.75,Capped
 Royal Challengers Bengaluru,Rasikh Dar,National,0.3,6,Uncapped
 Royal Challengers Bengaluru,Krunal Pandya,National,2,5.75,Capped
 Royal Challengers Bengaluru,Tim David  ,International,2,3,Capped
 Royal Challengers Bengaluru,Jacob Bethell  ,International,1.25,2.6,Capped
 Royal Challengers Bengaluru,Suyash Sharma,National,0.3,2.6,Uncapped
 Royal Challengers Bengaluru,Devdutt Padikkal,National,2,2,Capped
 Royal Challengers Bengaluru,Nuwan Thushara  ,International,0.75,1.6,Capped
 Royal Challengers Bengaluru,Romario Shepherd  ,International,1.5,1.5,Capped
 Royal Challengers Bengaluru,Lungisani Ngidi  ,International,1,1,Capped
 Royal Challengers Bengaluru,Swapnil Singh,National,0.3,0.5,Uncapped
 Royal Challengers Bengaluru,Mohit Rathee,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Abhinandan Singh,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Swastik Chhikara,National,0.3,0.3,Uncapped
 Royal Challengers Bengaluru,Manoj Bhandage,National,0.3,0.3,Uncapped
 Sunrisers Hyderabad,Ishan Kishan,National,2,11.25,Capped
 Sunrisers Hyderabad,Mohammad Shami,National,2,10,Capped
 Sunrisers Hyderabad,Harshal Patel,National,2,8,Capped
 Sunrisers Hyderabad,Abhinav Manohar,National,0.3,3.2,Uncapped
 Sunrisers Hyderabad,Rahul Chahar,National,1,3.2,Capped
 Sunrisers Hyderabad,Adam Zampa  ,International,2,2.4,Capped
 Sunrisers Hyderabad,Simarjeet Singh,National,0.3,1.5,Uncapped
 Sunrisers Hyderabad,Eshan Malinga  ,International,0.3,1.2,Uncapped
 Sunrisers Hyderabad,Brydon Carse  ,International,1,1,Capped
 Sunrisers Hyderabad,Jaydev Unadkat,National,1,1,Capped
 Sunrisers Hyderabad,Kamindu Mendis  ,International,0.75,0.75,Capped
 Sunrisers Hyderabad,Zeeshan Ansari,National,0.3,0.4,Uncapped
 Sunrisers Hyderabad,Sachin Baby,National,0.3,0.3,Uncapped
 Sunrisers Hyderabad,Aniket Verma,National,0.3,0.3,Uncapped
 Sunrisers Hyderabad,Atharva Taide,National,0.3,0.3,Uncapped
